Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	3085870.5	30.136608919607003
ackermann	wasmtime_app	2.741002809991062	8911352	17.275310921856818
base64	base_native	1	261067970	1.8139130907036072
base64	wasmtime_app	1.411978454320824	365390636	3.6875150962259253
ctype	base_native	1	655984945	0.5004255641264544
ctype	wasmtime_app	1.4999101328461129	983918466	0
ed25519	base_native	1	1433001489	0
ed25519	wasmtime_app	4.71239232676052	6752865221	0
fib2	base_native	1	6955897158	0
fib2	wasmtime_app	1.5385518586472466	10702008501	0
gimli	base_native	1	4144043	0.2420892130554488
gimli	wasmtime_app	2.295476507544455	9370999	4.8613397860237155
heapsort	base_native	1	1076315595	0
heapsort	wasmtime_app	1.1338530637939888	1220383735	0
keccak	base_native	1	7479786	0.14497302513949512
keccak	wasmtime_app	3.058374814990563	21323593.5	21.92833291764583
matrix	base_native	1	377870581	0.004079045681596568
matrix	wasmtime_app	1.4140362848199606	534322712.5	0.8665337079118851
matrix2	base_native	1	194270622.5	0.011470161141388699
matrix2	wasmtime_app	1.3395178857194903	257681844	1.707804638835594
memmove	base_native	1	47340341	0.02076296039787053
memmove	wasmtime_app	10.999177865078853	520661383	1.2997225333516809
minicsv	base_native	1	761328691	0
minicsv	wasmtime_app	1.4572170195540417	1109421126	0
nestedloop	base_native	1	1591076	1.7044228409523992
nestedloop	wasmtime_app	3.950106692414736	6170479	4.766401490271951
nestedloop2	base_native	1	1614199	3.2914998122511046
nestedloop2	wasmtime_app	3.8871872643516827	6169204	4.3310117256490726
nestedloop3	base_native	1	2100094	0.8677628622829615
nestedloop3	wasmtime_app	3.279121270089407	6728745	5.62131219879623
random	base_native	1	577584541	0.005046595548351399
random	wasmtime_app	0.5032981293036373	290421102	0.16595700869568578
random2	base_native	1	577641375	0.02084566981862357
random2	wasmtime_app	0.5032115655958105	290396954	0.16980083117394215
ratelimit	base_native	1	25937429.5	0.04139236037171243
ratelimit	wasmtime_app	1.5050201063185662	38314135.5	5.884793000539971
seqhash	base_native	1	7117361651	0
seqhash	wasmtime_app	1.3594669660548349	9675818050	0
sieve	base_native	1	569264082	0.0014003908033490048
sieve	wasmtime_app	1.3466096777207173	766576522	0
strcat	base_native	1	65846456.5	0.06947974061739574
strcat	wasmtime_app	5.331870165894767	351156091.5	0.42371282113041514
strcat2	base_native	1	2608388	0.6717420914544823
strcat2	wasmtime_app	3.6240093423955266	8521513	30.96200776527164
strchr	base_native	1	154934647	0.01016824556331326
strchr	wasmtime_app	2.624592009644527	406626459	1.5243364201028236
strlen	base_native	1	57508260.5	0.7290948303457326
strlen	wasmtime_app	3.8013948503012824	217066809.5	1.8865542725448186
strtok	base_native	1	374198796.5	0.006070140081825588
strtok	wasmtime_app	3.2630185703977803	1221017622	0
switch	base_native	1	52322269.5	0.07778612961963823
switch	wasmtime_app	1.2066826115110558	59177306.5	19.933168304718652
switch2	base_native	1	1452650072	0
switch2	wasmtime_app	0.20120809154282457	268604513	14.038214413573407
xblabla20	base_native	1	3044436	0.42091984826232104
xblabla20	wasmtime_app	4.364808592296211	9766375	83.81616061828288
xchacha20	base_native	1	4180290	0.5067421561474255
xchacha20	wasmtime_app	2.6530652594139488	10097768	28.684177678719394
