Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	2939727	75.21501037204682
ackermann	wasmtime_app	2.324874213212225	8669294.5	15.196461136464732
base64	base_native	1	250294113	1.7351125359240447
base64	wasmtime_app	1.407263658123841	355020897	1.8258222956279122
ctype	base_native	1	654134904	0.0770021004846579
ctype	wasmtime_app	1.502498441819885	982836674	0
ed25519	base_native	1	1432049008	0
ed25519	wasmtime_app	4.731205477710858	6775318111	0
fib2	base_native	1	6949499030	0
fib2	wasmtime_app	1.5371898644613524	10682699472	0
gimli	base_native	1	4147062.5	0.3834847678243966
gimli	wasmtime_app	2.292476141325755	9346931	5.416703050407804
heapsort	base_native	1	1075420884	0
heapsort	wasmtime_app	1.1348760007900311	1220469352	0
keccak	base_native	1	7477060.5	0.1621037754537997
keccak	wasmtime_app	3.0587797701352493	21294902.5	21.681447879023704
matrix	base_native	1	377531141	0.0012395355428156775
matrix	wasmtime_app	1.414656517036829	534076889	0.9704284180354187
matrix2	base_native	1	194075309	0.008346730866585168
matrix2	wasmtime_app	1.3406264722215564	257685038	1.6804938080423546
memmove	base_native	1	47344653.5	0.03682122989603016
memmove	wasmtime_app	10.997538856428895	520706886	1.2058842561709786
minicsv	base_native	1	739731227	0
minicsv	wasmtime_app	1.4971962809946375	1107522842	0
nestedloop	base_native	1	1578713	1.0031542581637292
nestedloop	wasmtime_app	3.99623149873743	6192810.5	4.5901965529397435
nestedloop2	base_native	1	1577489	1.0438029473194648
nestedloop2	wasmtime_app	3.9894994304945555	6199872	4.070548908189392
nestedloop3	base_native	1	2086062	0.36538189775116975
nestedloop3	wasmtime_app	3.28286106994066	6731042	5.60065022218882
random	base_native	1	577051468.5	0.0059155173715289815
random	wasmtime_app	0.5037010229876921	290388030	0.17537369347035853
random2	base_native	1	577085346	0.008721245931227252
random2	wasmtime_app	0.5037534269093478	290450552	0.16803559056120795
ratelimit	base_native	1	25904718.5	0.07121624128623927
ratelimit	wasmtime_app	1.5067388416608727	38302461.5	5.824325834831435
seqhash	base_native	1	7113043804	0
seqhash	wasmtime_app	1.3606238441210645	9678177004	0
sieve	base_native	1	568681321	0.006157887544100043
sieve	wasmtime_app	1.3487607288581929	767015033	0
strcat	base_native	1	65785336	0.05964101861557293
strcat	wasmtime_app	5.361389185703872	352767200	2.1965849080771522
strcat2	base_native	1	2563142	0.49933837604711867
strcat2	wasmtime_app	3.6538676019346235	8487980	30.822449336277355
strchr	base_native	1	155040215	0.013570151779218016
strchr	wasmtime_app	2.6229825283978943	406673488	1.5132376110367194
strlen	base_native	1	57654103	0.7240492449247697
strlen	wasmtime_app	3.80694590903242	216995349	1.8839681582777335
strtok	base_native	1	373920646.5	0.018022001187853416
strtok	wasmtime_app	3.2672729319320966	1221700807	0
switch	base_native	1	52337739.5	0.037704756849000376
switch	wasmtime_app	1.2075229013644837	59169789	20.155629875959367
switch2	base_native	1	1451310889	0
switch2	wasmtime_app	0.20153666239505952	268602968	14.152341216550916
xblabla20	base_native	1	3040073	0.43251878735650967
xblabla20	wasmtime_app	4.343544320259474	9708835.5	84.21443035714988
xchacha20	base_native	1	4186546.5	0.23257218680751107
xchacha20	wasmtime_app	2.647859364987095	10087801.5	28.310075962488327
