Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	3026697.5	30.431171935868107
ackermann	wasmtime_app	2.7337161013064724	8625113	21.725654113545765
base64	base_native	1	265881399	0.190448899661858
base64	wasmtime_app	1.3483825623954582	358184823	2.815561871308413
ctype	base_native	1	668268474	0
ctype	wasmtime_app	1.4748962720033985	985626681	0
ed25519	base_native	1	1432999058	0
ed25519	wasmtime_app	4.72695511499771	6773722227	0
fib2	base_native	1	6955839890	0
fib2	wasmtime_app	1.537112677129203	10691909675	0
gimli	base_native	1	4150739.5	0.24517437047857374
gimli	wasmtime_app	2.2959815464397653	9374363.5	5.317886322543179
heapsort	base_native	1	1076358968	0
heapsort	wasmtime_app	1.1338145296151794	1220391437	0
keccak	base_native	1	7484281	0.17170393026170913
keccak	wasmtime_app	3.0573923655733855	21227830.5	22.31218757736362
matrix	base_native	1	377867223.5	0.006114131743873801
matrix	wasmtime_app	1.4121823773371018	533617434	1.0868225978596084
matrix2	base_native	1	194254096.5	0.011020561241671355
matrix2	wasmtime_app	1.3397039511278364	257697702	1.7122240158200106
memmove	base_native	1	47336885	0.04399957363006499
memmove	wasmtime_app	10.9970185906889	520658183.5	1.401237352564459
minicsv	base_native	1	740448004	0
minicsv	wasmtime_app	1.491180943206378	1104141953	0
nestedloop	base_native	1	1581875	1.0088536541957283
nestedloop	wasmtime_app	3.9880341987620964	6218143.5	4.4774573279477945
nestedloop2	base_native	1	1578401	1.0096274431553747
nestedloop2	wasmtime_app	3.982620054850353	6203419.5	4.102193206520561
nestedloop3	base_native	1	2086944	0.9183868079657561
nestedloop3	wasmtime_app	3.2886892815686726	6749417.5	5.541247520339398
random	base_native	1	577602127.5	0.002221820239357524
random	wasmtime_app	0.5032315218864333	290383770	0.17388025209238941
random2	base_native	1	577640612.5	0.016013691868744875
random2	wasmtime_app	0.5033822981066796	290475865	0.21011851633370487
ratelimit	base_native	1	25943450	0.0906457544482075
ratelimit	wasmtime_app	1.503383582744571	38310403.5	5.79361735172002
seqhash	base_native	1	7120866255	0
seqhash	wasmtime_app	1.364097511054854	9713555935	0
sieve	base_native	1	569219377	0.002589820861663524
sieve	wasmtime_app	1.347715583828412	767145825	0
strcat	base_native	1	65839264	0.057698543622278844
strcat	wasmtime_app	5.336148718965251	351389732.5	0.4841140566299856
strcat2	base_native	1	2599112	0.5457220617394405
strcat2	wasmtime_app	3.6173555356810687	8486982	30.86709841422325
strchr	base_native	1	155134384	0.008130525229846353
strchr	wasmtime_app	2.622107360451006	406796433	1.5459645183058084
strlen	base_native	1	55098674	0.9950826069830117
strlen	wasmtime_app	3.974788476812123	217150209	1.9007284887318714
strtok	base_native	1	374251562	0.013555610256346782
strtok	wasmtime_app	3.263396375617532	1221331191	0
switch	base_native	1	52322085.5	0.06820191605159408
switch	wasmtime_app	1.2089610400362862	59217574.5	20.175235100385137
switch2	base_native	1	1452616329	0
switch2	wasmtime_app	0.2011576164330267	268598216	13.993738436718715
xblabla20	base_native	1	3042659	0.3142546305676311
xblabla20	wasmtime_app	4.359356817511219	9748732.5	84.22146874538332
xchacha20	base_native	1	4186274.5	0.28454893879263365
xchacha20	wasmtime_app	2.6527028186398502	10108040	28.250293086095535
