Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	2896521.5	31.943551904010334
ackermann	wasmtime_app	2.775384170592205	8494887.5	20.355569912895373
base64	base_native	1	253405455	0.04407995100605994
base64	wasmtime_app	1.4016813509657984	355176799.5	1.8727741943685021
ctype	base_native	1	658303985.5	0.10057622737021697
ctype	wasmtime_app	1.4914792704076678	981846748	0
ed25519	base_native	1	1433068096	0
ed25519	wasmtime_app	4.723579649769832	6769211295	0
fib2	base_native	1	6956163478	0
fib2	wasmtime_app	1.5348598451958348	10676735999	0
gimli	base_native	1	4151437	0.36639634048313197
gimli	wasmtime_app	2.2953225121443688	9386393	5.0584438196148085
heapsort	base_native	1	1076348740	0
heapsort	wasmtime_app	1.134118325813249	1220706831	0
keccak	base_native	1	7479259.5	0.14792423256756954
keccak	wasmtime_app	3.0533228221232696	21226814.5	21.811818084694877
matrix	base_native	1	377881185	0.0057679133781942974
matrix	wasmtime_app	1.4120446100008923	533585090.5	1.0948191334725255
matrix2	base_native	1	194300680	0.02491359132515804
matrix2	wasmtime_app	1.339443514918787	257728612	1.6954456524516375
memmove	base_native	1	47329859.5	0.03640026744738063
memmove	wasmtime_app	10.991155193775205	520262227	1.423327035119603
minicsv	base_native	1	726043817	0
minicsv	wasmtime_app	1.5327228590667827	1112823955	0
nestedloop	base_native	1	1553311	1.7133216721625912
nestedloop	wasmtime_app	4.047326486968287	6226259.5	4.674463644217965
nestedloop2	base_native	1	1577784	0.9368817223753831
nestedloop2	wasmtime_app	4.0103999732461695	6216347.5	4.290800799160664
nestedloop3	base_native	1	2081031	0.6683520071189207
nestedloop3	wasmtime_app	3.313030195318717	6753963	5.4915203871629075
random	base_native	1	577638579	0.0009944861197298098
random	wasmtime_app	0.5035908615561265	290549165	0.22780000069622622
random2	base_native	1	577673901.5	0.0049786140652228255
random2	wasmtime_app	0.5032703916721201	290413649	0.18874993322660913
ratelimit	base_native	1	25943705.5	0.0520978008798389
ratelimit	wasmtime_app	1.5057661084993823	38340546	5.9066507882665125
seqhash	base_native	1	7144911775	0
seqhash	wasmtime_app	1.3567722893261338	9694018306	0
sieve	base_native	1	569274306.5	0.0003384775944974678
sieve	wasmtime_app	1.3478663260204595	767305668	0
strcat	base_native	1	65892674.5	0.057213100896425645
strcat	wasmtime_app	5.352603703749178	352767755.5	0.9808112721129881
strcat2	base_native	1	2600551	0.4247916089802544
strcat2	wasmtime_app	3.62189478753086	8516049	30.939820206673165
strchr	base_native	1	155261734	0.07544437588062046
strchr	wasmtime_app	2.620515413381755	406786475.5	1.5296613588459032
strlen	base_native	1	47869691	0.5375154675034369
strlen	wasmtime_app	4.587350277728305	217334849	1.8711915970294248
strtok	base_native	1	374579398.5	0.005497651731771849
strtok	wasmtime_app	3.2612914695574213	1221612597	0
switch	base_native	1	52353460	0.05120399609135758
switch	wasmtime_app	1.2082456847803449	59228133	20.194495633166312
switch2	base_native	1	1452855016	0
switch2	wasmtime_app	0.20145682061184644	268691429	14.224440409360293
xblabla20	base_native	1	3054475	0.3755393611887926
xblabla20	wasmtime_app	4.3508857164201435	9748394.5	84.10196245784718
xchacha20	base_native	1	4190585	0.5499220271059125
xchacha20	wasmtime_app	2.649868976202917	10121395.5	28.289052241920245
