Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	1108502	36.69104273506996
ackermann	wasmtime_app	2.7239506416416353	3220348	17.46848196631735
ackermann	wasmtime_vcode_app	2.81656642118728	3369081	13.412989743153949
base64	base_native	1	109759983	0.15487347095890222
base64	wasmtime_app	1.534139692977624	167606256	1.1798431794066655
base64	wasmtime_vcode_app	1.525363998022934	167519095	0.02694525109026455
ctype	base_native	1	498020280	0.10116099446530895
ctype	wasmtime_app	1.3136563163652692	654227486.5	0.8441800956897446
ctype	wasmtime_vcode_app	1.3068326183423695	650829146.5	0.0910313577981874
ed25519	base_native	1	504693686.5	0.7910869735026163
ed25519	wasmtime_app	6.829291233862106	3446700169	0
ed25519	wasmtime_vcode_app	6.716961806099391	3390008216	0
fib2	base_native	1	2866405735	0
fib2	wasmtime_app	2.0428791173905463	5855720418	0
fib2	wasmtime_vcode_app	2.042925240309708	5855852625	0
gimli	base_native	1	1156172	1.1673290064451574
gimli	wasmtime_app	4.862324664991175	5436669	11.511509015294623
gimli	wasmtime_vcode_app	5.072201179073041	5830531	2.8153645297559193
heapsort	base_native	1	741667645	0
heapsort	wasmtime_app	1.2182555651325466	903540736	0
heapsort	wasmtime_vcode_app	1.2341068188298816	915297098	0
keccak	base_native	1	4991262	0.26737149324212256
keccak	wasmtime_app	2.38769424994659	11498855	11.528729837961
keccak	wasmtime_vcode_app	2.336405326852534	11669641	0.3033398172643815
matrix	base_native	1	128212220.5	0.04765258784070667
matrix	wasmtime_app	2.851139931693732	365579435.5	0.607189960037041
matrix	wasmtime_vcode_app	2.845143867845184	364810607	0.18968479510749026
matrix2	base_native	1	83906393	0.13997232016626773
matrix2	wasmtime_app	1.9920712389536808	166687780	0.862763424073432
matrix2	wasmtime_vcode_app	1.9862240087976306	166757613.5	0.09816109835641768
memmove	base_native	1	11363249	0.11318997060397111
memmove	wasmtime_app	50.05119424873994	568902570	0.4391497340114185
memmove	wasmtime_vcode_app	49.892438938632665	567098091.5	0.007138049397330106
minicsv	base_native	1	548253744.5	0.03448916370581685
minicsv	wasmtime_app	1.4977596418404397	821152332	0
minicsv	wasmtime_vcode_app	1.4941044730064768	819148372	0
nestedloop	base_native	1	571675.5	1.6292338648285916
nestedloop	wasmtime_app	3.7370592897484545	2106091	5.491607955012937
nestedloop	wasmtime_vcode_app	3.978526017265894	2276284	0.821681268262514
nestedloop2	base_native	1	570167	1.8960395123258453
nestedloop2	wasmtime_app	3.741149277124038	2110247	5.649528220320033
nestedloop2	wasmtime_vcode_app	3.9758815963119316	2269906	1.2616741436823564
nestedloop3	base_native	1	786459.5	0.8156633570090329
nestedloop3	wasmtime_app	3.0240751858743744	2342060	6.372220183776377
nestedloop3	wasmtime_vcode_app	3.1989921560954944	2510455	1.3164333691323415
random	base_native	1	136660946	0.20889217785047484
random	wasmtime_app	1.1618882849890186	158781326	0.36485318096094915
random	wasmtime_vcode_app	1.1602889683236186	158746327	0.1429779009423568
random2	base_native	1	136677569	0.21537484868704895
random2	wasmtime_app	1.0989667423456595	150336424	0.4136056046985686
random2	wasmtime_vcode_app	1.1017377241792203	150681029	0.2591356922832713
ratelimit	base_native	1	11210719.5	1.9402978695407394
ratelimit	wasmtime_app	2.1324615059982968	23659650	3.861440921706506
ratelimit	wasmtime_vcode_app	2.12827784682157	23852229.5	1.8698767180135711
seqhash	base_native	1	3689693517	0
seqhash	wasmtime_app	1.309711981153691	4832435806	0
seqhash	wasmtime_vcode_app	1.3085163227664365	4828024193	0
sieve	base_native	1	239907508	0.1506052256308502
sieve	wasmtime_app	2.8793957212125063	691010425	0
sieve	wasmtime_vcode_app	2.84306595008751	682291842	0
strcat	base_native	1	7551279	1.0516302609846617
strcat	wasmtime_app	18.328564570767455	138092664	1.1694675192973187
strcat	wasmtime_vcode_app	18.19135060120286	137835968	0.354562830140305
strcat2	base_native	1	1872867	0.7016906279816617
strcat2	wasmtime_app	2.3321867635066447	4012451	25.988173705655356
strcat2	wasmtime_vcode_app	2.2419139321368897	4190098.5	0.9958445308578705
strchr	base_native	1	10487465	0.6802479797717843
strchr	wasmtime_app	17.516955167963747	183235640	0.9219700864405482
strchr	wasmtime_vcode_app	17.463591556260443	183437068.5	0.06583471904357228
strlen	base_native	1	7953963.5	0.45857154779891596
strlen	wasmtime_app	15.483284673123448	122752348	1.0579362691619487
strlen	wasmtime_vcode_app	15.445165283267754	122982322	0.05067285431832209
strtok	base_native	1	69699797.5	0.16475747735878588
strtok	wasmtime_app	8.043619906448816	560755046.5	0.6076885929847793
strtok	wasmtime_vcode_app	7.914662345875195	551764865	2.0976590863556894
switch	base_native	1	38647660	0.10121752033265059
switch	wasmtime_app	3.5901158511626465	51011491	141.44498068963767
switch	wasmtime_vcode_app	1.3244649265783424	51197082.5	0.04773767509066088
switch2	base_native	1	1627073211	0
switch2	wasmtime_app	0.8310314353765118	1352148986	0
switch2	wasmtime_vcode_app	0.8242540765425951	1341121727	0
xblabla20	base_native	1	1263509	1.0096051426491597
xblabla20	wasmtime_app	5.076957358947685	4776836.5	81.63777678491705
xblabla20	wasmtime_vcode_app	3.913185269333403	4954942	0.511671692300027
xchacha20	base_native	1	1958197	0.4076918031958836
xchacha20	wasmtime_app	2.7716978245029473	5051839.5	22.575199924548986
xchacha20	wasmtime_vcode_app	2.658473663616222	5211629.5	0.43868213805604206
