Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	1111561	35.795070853563445
ackermann	wasmtime_app	2.783277922326818	3230065.5	17.44863234927382
ackermann	wasmtime_vcode_app	2.8273999636566125	3375245	13.14592908367303
base64	base_native	1	109737422	0.04226556022353254
base64	wasmtime_app	1.5339323813312993	167536245.5	1.0052804676134028
base64	wasmtime_vcode_app	1.528061862253407	167706648.5	0.12992007003193684
ctype	base_native	1	498060082	0.09059103154693776
ctype	wasmtime_app	1.3098708350210648	652394375.5	0.38746393186066586
ctype	wasmtime_vcode_app	1.3779129101135232	686283417	7.3568470647920545
ed25519	base_native	1	500482054.5	0.017556515595422602
ed25519	wasmtime_app	7.4663238939369405	3736761122	0
ed25519	wasmtime_vcode_app	6.793897466307656	3400223762	0
fib2	base_native	1	2865885694	0
fib2	wasmtime_app	2.0492861708670786	5873019920	0
fib2	wasmtime_vcode_app	2.04470793593347	5859899222	0
gimli	base_native	1	1154637	1.2078095584309902
gimli	wasmtime_app	4.761082888127391	5457787.5	3.599500945642914
gimli	wasmtime_vcode_app	5.042239264359564	5782951	2.8419218685655516
heapsort	base_native	1	741482782	0
heapsort	wasmtime_app	1.2216667669027546	905844873	0
heapsort	wasmtime_vcode_app	1.238877313539561	918606197	0
keccak	base_native	1	4990449	0.3103849698966921
keccak	wasmtime_app	2.3921466005894523	11506920	11.47295111328955
keccak	wasmtime_vcode_app	2.338540043875243	11674640.5	0.37448017743798084
matrix	base_native	1	128170524.5	0.03151159392956863
matrix	wasmtime_app	2.8519753375068384	365537631	0.6021445758931279
matrix	wasmtime_vcode_app	2.8462193369069113	364799884.5	0.008213334738382457
matrix2	base_native	1	83911819.5	0.16913392212613154
matrix2	wasmtime_app	1.9919143672976465	166553722	0.9384080260702976
matrix2	wasmtime_vcode_app	1.9838027884748637	166578221	0.04968328341352172
memmove	base_native	1	11365822	0.13215811107461464
memmove	wasmtime_app	50.04556811554617	568785307.5	0.45514374646929723
memmove	wasmtime_vcode_app	49.897653465645696	567104206	0.019870413527395103
minicsv	base_native	1	550391462	0.46582717921234396
minicsv	wasmtime_app	1.4977967481624923	824374542	0
minicsv	wasmtime_vcode_app	1.4932132032237084	821851798	0
nestedloop	base_native	1	570346	1.4438629339964753
nestedloop	wasmtime_app	3.772385666707026	2118293	5.307145224870673
nestedloop	wasmtime_vcode_app	3.98646568816039	2277329	0.7748340310758168
nestedloop2	base_native	1	571805.5	2.339560369440113
nestedloop2	wasmtime_app	3.731582893962445	2114097	5.261996189632909
nestedloop2	wasmtime_vcode_app	3.974670735727117	2284209	1.4145431614440798
nestedloop3	base_native	1	788615.5	2.5050448023585465
nestedloop3	wasmtime_app	3.0144234389470976	2356008	6.52478766384241
nestedloop3	wasmtime_vcode_app	3.1570817331633667	2510719	0.6691927857189134
random	base_native	1	136668387	0.14695150411234723
random	wasmtime_app	1.1613680779384314	158951265	0.22818691222777943
random	wasmtime_vcode_app	1.1629002830220077	159113226	0.15360005877732424
random2	base_native	1	136667311	0.07660798462789864
random2	wasmtime_app	1.1028097296161974	150703526	0.20538714771130023
random2	wasmtime_vcode_app	1.1035383844187727	151031691	0.39904760701089353
ratelimit	base_native	1	11211428.5	0.24905963052922522
ratelimit	wasmtime_app	2.155115346325524	23712192	4.133943882092718
ratelimit	wasmtime_vcode_app	2.12589717326833	23854122.5	0.245612742347867
seqhash	base_native	1	3693005932	0
seqhash	wasmtime_app	1.3075997959160603	4828973803	0
seqhash	wasmtime_vcode_app	1.307939557352436	4830228544	0
sieve	base_native	1	240139844	0.17787106013240445
sieve	wasmtime_app	2.9737095717221025	713459577	0
sieve	wasmtime_vcode_app	3.073714917894846	737453101	0
strcat	base_native	1	7638855	0.8560511505855541
strcat	wasmtime_app	18.042611009325363	137732793	1.1374410117894664
strcat	wasmtime_vcode_app	18.08639407561358	138364056	0.5273225620068568
strcat2	base_native	1	1869436	0.5213668105171457
strcat2	wasmtime_app	2.3455682510425317	4034299.5	26.067121445525693
strcat2	wasmtime_vcode_app	2.2494502259168967	4196614	0.9073902602699686
strchr	base_native	1	10507038.5	0.22737937814325915
strchr	wasmtime_app	17.50922923475073	183285725	0.9601328283114745
strchr	wasmtime_vcode_app	17.43962600210693	183389278.5	0.025252483534351805
strlen	base_native	1	7896125.5	0.3562343760530118
strlen	wasmtime_app	15.597903955757523	122762519.5	1.1506990506337635
strlen	wasmtime_vcode_app	15.557167969261991	122925360	0.20833201636067084
strtok	base_native	1	69833079.5	0.2433735108702427
strtok	wasmtime_app	7.8234029388829205	546728417.5	0.7129786602038777
strtok	wasmtime_vcode_app	8.034059973639579	561449912.5	2.097248561650372
switch	base_native	1	38635414	0.076049985246314
switch	wasmtime_app	3.634418026766958	51037877	142.36202501612945
switch	wasmtime_vcode_app	1.325261243758401	51186208	0.10387638203180673
switch2	base_native	1	1628221603	0
switch2	wasmtime_app	0.8302353878055013	1351807194	0
switch2	wasmtime_vcode_app	0.8240786914556126	1341782728	0
xblabla20	base_native	1	1264633	9.184305538892506
xblabla20	wasmtime_app	4.932975355628978	4772156.5	81.71001828684344
xblabla20	wasmtime_vcode_app	3.8026357901253114	4948132	0.7702062191781931
xchacha20	base_native	1	1960070	0.4312997710569813
xchacha20	wasmtime_app	2.775629680417	5053710.5	22.71888363498056
xchacha20	wasmtime_vcode_app	2.655052468833497	5192204.5	0.8469213967182478
