Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	1103625	31.10069417606528
ackermann	wasmtime_app	2.831666098223528	3236446	17.682611430298653
ackermann	wasmtime_vcode_app	2.9011092619126044	3376951.5	12.915622787282448
base64	base_native	1	109805112	2.1001784436085584
base64	wasmtime_app	1.5218154849305257	167473144	1.1809679688730323
base64	wasmtime_vcode_app	1.515063002652528	167672402	0.032956853227828195
ctype	base_native	1	500657789.5	0.5092571174348999
ctype	wasmtime_app	1.3033125324019352	652513571.5	0.3507921166649355
ctype	wasmtime_vcode_app	1.2994239800996845	650566737.5	0.0012865740724878612
ed25519	base_native	1	503119657	0.21068710088732776
ed25519	wasmtime_app	6.843265619017545	3442981451	0
ed25519	wasmtime_vcode_app	6.9032295611538785	3473150489	0
fib2	base_native	1	2869290284	0
fib2	wasmtime_app	2.0484748705195837	5877669043	0
fib2	wasmtime_vcode_app	2.0412174504125566	5856845398	0
gimli	base_native	1	1153174	1.1510318380097944
gimli	wasmtime_app	4.756121480782597	5439381	4.001987148471614
gimli	wasmtime_vcode_app	4.8561490490783195	5611079	0.6349710937566014
heapsort	base_native	1	742733349	0
heapsort	wasmtime_app	1.2195385830184393	905791976	0
heapsort	wasmtime_vcode_app	1.2143499362380186	901938195	0
keccak	base_native	1	4988663	0.2744155333645354
keccak	wasmtime_app	2.392657791041152	11516028	11.677610560116465
keccak	wasmtime_vcode_app	2.3389207837048014	11671567	0.35540283622929825
matrix	base_native	1	128325026	0.08012113255802324
matrix	wasmtime_app	2.8492655711427717	365667568	0.4364575875535321
matrix	wasmtime_vcode_app	2.846896984070216	365363589.5	0.3903999674667663
matrix2	base_native	1	83897984	0.13741418401208258
matrix2	wasmtime_app	1.9943656735649964	166709219.5	0.9296827914580524
matrix2	wasmtime_vcode_app	1.9885268206491238	166749901.5	0.26118001501630383
memmove	base_native	1	11357879	0.13203054027936934
memmove	wasmtime_app	50.10770697087114	569413274	0.5257798772458951
memmove	wasmtime_vcode_app	49.92130699430699	567295064.5	0.05824688537463115
minicsv	base_native	1	549521400	0.14512354338104483
minicsv	wasmtime_app	1.5046480228067551	826836288	0
minicsv	wasmtime_vcode_app	1.504844482853625	826944247	0
nestedloop	base_native	1	567689	2.535500909043262
nestedloop	wasmtime_app	3.7474613807867674	2101690	5.735290191684207
nestedloop	wasmtime_vcode_app	3.988774068891768	2275436	0.7359055998053052
nestedloop2	base_native	1	573205.5	131.9456543409024
nestedloop2	wasmtime_app	2.1899379257422167	2113148	5.815603826570736
nestedloop2	wasmtime_vcode_app	2.3329552288024957	2278326	1.476386218903623
nestedloop3	base_native	1	782829	1.3768519282823062
nestedloop3	wasmtime_app	3.0422816276342033	2348421	6.481295871389479
nestedloop3	wasmtime_vcode_app	3.2009483936174368	2511145	0.9382275267770869
random	base_native	1	136740865	0.03562286133959888
random	wasmtime_app	1.1632022231558452	159291568	0.35641747238954247
random	wasmtime_vcode_app	1.1651579991511398	159421440	0.249734452365324
random2	base_native	1	136806436	0.23673536949973584
random2	wasmtime_app	1.1016869764198038	150645503	0.43087081791386755
random2	wasmtime_vcode_app	1.1000526264788217	150560465	0.17880839626407077
ratelimit	base_native	1	11220545	0.16614631864663382
ratelimit	wasmtime_app	2.1356487599267244	23673818	3.80380865486142
ratelimit	wasmtime_vcode_app	2.1259817082599968	23832028	0.35301627298461424
seqhash	base_native	1	3699255192	0
seqhash	wasmtime_app	1.3071485834384144	4835476184	0
seqhash	wasmtime_vcode_app	1.3054947697157953	4829358305	0
sieve	base_native	1	240322159	0.03217824878428046
sieve	wasmtime_app	3.03565760078964	729660713	0
sieve	wasmtime_vcode_app	2.853972231430428	685990216	0
strcat	base_native	1	7523694.5	1.0370119678776737
strcat	wasmtime_app	18.406903561298392	138741545	1.0304467719956152
strcat	wasmtime_vcode_app	18.261011597155086	138043315	0.30677019230385555
strcat2	base_native	1	1870407	0.6128122578295334
strcat2	wasmtime_app	2.4511604347199563	4008438	39.82918323143701
strcat2	wasmtime_vcode_app	2.2475247578092885	4191643	1.1388673053956981
strchr	base_native	1	10652794.5	0.17725217824577943
strchr	wasmtime_app	17.41933661129157	185451020	0.8235867698077655
strchr	wasmtime_vcode_app	17.235824267118485	183515537	0.023648741141583766
strlen	base_native	1	7974551	0.3288508925905028
strlen	wasmtime_app	15.638873688553987	124325410	1.1917831032411774
strlen	wasmtime_vcode_app	15.418288261949312	123046928	0.05580378336135529
strtok	base_native	1	69698625.5	0.16044235973884927
strtok	wasmtime_app	8.058423928815522	562023933.5	0.10115209850428537
strtok	wasmtime_vcode_app	7.6077287470041135	530590804.5	0.6906552630115956
switch	base_native	1	38637653	0.08312579626923079
switch	wasmtime_app	3.595391336973842	51065340	141.44109405258374
switch	wasmtime_vcode_app	1.3262750838831379	51237452	0.11203676196717319
switch2	base_native	1	1629341239	0
switch2	wasmtime_app	0.8319358790868977	1355507436	0
switch2	wasmtime_vcode_app	0.8234175984052411	1341628250	0
xblabla20	base_native	1	1261784	0.6626532303989686
xblabla20	wasmtime_app	5.095952955413477	4776597	81.75037186965909
xblabla20	wasmtime_vcode_app	3.9221880898515056	4945424	0.6201404606067642
xchacha20	base_native	1	1955703	58.49323740665962
xchacha20	wasmtime_app	2.269045819413854	5053586.5	22.5820714878583
xchacha20	wasmtime_vcode_app	2.177892095102435	5212595	0.7259999696589882
