Test	Implementation	Ratio	Median	RSD
ackermann	base_native	1	1097174	35.630674107951535
ackermann	wasmtime_app	2.7738934348839606	3212526.5	17.97859225017255
ackermann	wasmtime_vcode_app	2.8661276266206053	3372571	13.291951519943513
base64	base_native	1	109807708	0.08828143131199671
base64	wasmtime_app	1.5315480194994031	167232466	1.1631842839274655
base64	wasmtime_vcode_app	1.5248528086447506	167418877.5	0.08005891761537655
ctype	base_native	1	497410924.5	0.004533259531427483
ctype	wasmtime_app	1.3107432233326433	651977998.5	0.37925119139996544
ctype	wasmtime_vcode_app	1.3081717981045267	650698943.5	0.021573040299232422
ed25519	base_native	1	502681568	0.6627989906747033
ed25519	wasmtime_app	6.844617803849932	3440663210	0
ed25519	wasmtime_vcode_app	6.836677932460018	3436671983	0
fib2	base_native	1	2866522462	0
fib2	wasmtime_app	2.046084098677473	5865146028	0
fib2	wasmtime_vcode_app	2.042366910292852	5854490624	0
gimli	base_native	1	1151983	1.953767040989196
gimli	wasmtime_app	4.740214024006952	5430797.5	4.303861463028572
gimli	wasmtime_vcode_app	4.844383184615114	5601655	1.0648651120706785
heapsort	base_native	1	741205319	0
heapsort	wasmtime_app	1.2198918826161311	904190352	0
heapsort	wasmtime_vcode_app	1.2213982223190172	905306859	0
keccak	base_native	1	4990356	0.6721227276273628
keccak	wasmtime_app	2.3887176852542438	11512541.5	11.448949915692753
keccak	wasmtime_vcode_app	2.3346203653254496	11661828.5	0.3586000654404681
matrix	base_native	1	128272550	0.0868520062156524
matrix	wasmtime_app	2.8528677145333976	365887582.5	0.673295759752049
matrix	wasmtime_vcode_app	2.840023358650381	364240261	0.10410831442589948
matrix2	base_native	1	83888390.5	0.18519234148116975
matrix2	wasmtime_app	1.9956697884899377	166867628.5	0.9385824682088875
matrix2	wasmtime_vcode_app	1.9836651399663572	166557602	0.06982855367806556
memmove	base_native	1	11359882.5	0.28828772464586666
memmove	wasmtime_app	50.05233811648943	569050247.5	0.437249020708394
memmove	wasmtime_vcode_app	49.88354526647755	567131224	0.010906125733600888
minicsv	base_native	1	546952666.5	0.30016384618867115
minicsv	wasmtime_app	1.5100152363915753	825906860	0
minicsv	wasmtime_vcode_app	1.5059301571208266	823672515	0
nestedloop	base_native	1	568960.5	2.278966717769151
nestedloop	wasmtime_app	3.7400455605400253	2111424	6.017034420884449
nestedloop	wasmtime_vcode_app	3.9646873407808987	2270378	1.6512428254819957
nestedloop2	base_native	1	566076.5	1.9155711755886493
nestedloop2	wasmtime_app	3.7719215718025314	2107106	6.69400938797801
nestedloop2	wasmtime_vcode_app	4.000672101439026	2269046	1.9778748311674428
nestedloop3	base_native	1	780998	1.4650928695334635
nestedloop3	wasmtime_app	3.0569344589936915	2350691	6.4367288340446605
nestedloop3	wasmtime_vcode_app	3.2011395779170777	2503276	1.065245048303856
random	base_native	1	136676290	0.0628589029260439
random	wasmtime_app	1.163683132256601	158986822	0.3029626760919849
random	wasmtime_vcode_app	1.1664348256326265	159579034	0.3461573412124004
random2	base_native	1	136635010	0.059020760595438856
random2	wasmtime_app	1.1029072635178085	150840527	0.3594591231504744
random2	wasmtime_vcode_app	1.1020058154094998	150353067	0.3954244279409358
ratelimit	base_native	1	11215716.5	7.16309200045569
ratelimit	wasmtime_app	2.0726827601324005	23619775.5	3.82669463770486
ratelimit	wasmtime_vcode_app	2.067316154577627	23855548.5	0.38233960185135984
seqhash	base_native	1	3691773609	0
seqhash	wasmtime_app	1.3561008962724832	5006417500	0
seqhash	wasmtime_vcode_app	1.3086657695428583	4831297751	0
sieve	base_native	1	240118575	0.14787858867675255
sieve	wasmtime_app	2.920419963582994	701548115	0
sieve	wasmtime_vcode_app	2.9755402067465293	714789191	0
strcat	base_native	1	7809201	2.202936982743414
strcat	wasmtime_app	17.745258412393476	138074324	1.423409539909983
strcat	wasmtime_vcode_app	17.6346560539878	137644507	0.42521626781729377
strcat2	base_native	1	1866538	57.20409725611268
strcat2	wasmtime_app	1.9234476593009995	4017499.5	26.634892051715248
strcat2	wasmtime_vcode_app	1.8433868563724591	4186176	1.136907943612902
strchr	base_native	1	10436926	0.4110875486002161
strchr	wasmtime_app	17.63646095380443	183258897	0.9828052063841614
strchr	wasmtime_vcode_app	17.569837232275876	183470526	0.0321484580538572
strlen	base_native	1	7979536	0.6276513565890531
strlen	wasmtime_app	15.44101441691144	122810228	1.1788180135251571
strlen	wasmtime_vcode_app	15.393748377830166	123002661	0.10080977237293817
strtok	base_native	1	70034135.5	0.2000890404334417
strtok	wasmtime_app	8.007690506815576	561195800.5	0.2932233240877783
strtok	wasmtime_vcode_app	7.875857621580946	551956674.5	0.6044365863503507
switch	base_native	1	38634548	0.07442548089485833
switch	wasmtime_app	3.5850676178455694	50980635	141.30673446628438
switch	wasmtime_vcode_app	1.3261998418184855	51241313	0.1052859358473421
switch2	base_native	1	1627363698	0
switch2	wasmtime_app	0.8301250978255508	1350915449	0
switch2	wasmtime_vcode_app	0.8245765876731509	1341886005	0
xblabla20	base_native	1	1258482	1.1957429536866875
xblabla20	wasmtime_app	5.090479887613865	4772148	81.67472228730168
xblabla20	wasmtime_vcode_app	3.9218591002505576	4939345.5	1.3584379931070056
xchacha20	base_native	1	1955787	1.3346289051922477
xchacha20	wasmtime_app	2.76614777835662	5036888.5	23.108206237397628
xchacha20	wasmtime_vcode_app	2.659035822663899	5202264.5	0.8133610653961553
